userName,score,content,at,thumbsUpCount,source,app,score_based,rule_based,final_label
Vadim K,1,used decent app however ditched tablet support ha use dumb move,2026-03-05 22:37:33,0,all_cleaned,unknown,Negative,Neutral,Negative
Kelly McCloy,2,many bug app atm scroll thru feed click item super slow show completely different item throw algorithm feed continues shoe item arent interest havent even able place first order get benefit welcome deal give looking frustration,2026-02-25 08:34:32,4,all_cleaned,unknown,Negative,Neutral,Negative
Santiago Farero,1,good anymore buy thing way return faulty item get refund back keep asking additional information,2026-02-16 17:28:10,0,all_cleaned,unknown,Negative,Positive,Negative
Nandlal Jee,1,subject request reinstate expired noon credit 2479sar technical issue dear noon support team regular customer noon writing request assistance regarding recently expired 2479 sar wallet credit wa planning use credit current order soybean seed unfortunately missed deadline due persistent technical issue mobile phone device wa frequently hanging freezing past day prevented,2026-03-08 09:33:09,0,all_cleaned,unknown,Negative,Neutral,Negative
Jermaine Nelson,1,reason shop walmart amazon simple sign issueit never difficult buy anything,2026-03-08 19:49:27,3,all_cleaned,unknown,Negative,Negative,Negative
Klinsman Mensah,1,dont waste time app youd wasting money delivery bad product bad listen thank later complete waste time trust,2026-03-12 19:09:55,0,all_cleaned,unknown,Negative,Negative,Negative
Marcie Graham,5,love temu could hug temu would,2026-03-11 21:47:33,0,all_cleaned,unknown,Positive,Positive,Positive
Colleen Henley,5,really enjoy shopping temu happy purchase,2026-03-12 18:39:37,0,all_cleaned,unknown,Positive,Positive,Positive
Pilar Castanuela,5,favorite,2026-02-15 04:25:07,0,all_cleaned,unknown,Positive,Neutral,Positive
Muhammed Sohan,5,good,2026-03-02 22:32:37,0,all_cleaned,unknown,Positive,Positive,Positive
Tina Wilson,5,love temu,2026-03-12 14:43:07,0,all_cleaned,unknown,Positive,Positive,Positive
Mahmod Elfiki,5,جميل,2026-03-07 09:44:35,0,all_cleaned,unknown,Positive,Neutral,Positive
Taylor Burgin,2,handy amazon app terrible showing item attempting filter search 100 cotton insert clothing item first item always rayon blendsemi full synthetic material even filtering material still show looking point filter doe filter,2026-03-07 19:56:22,0,all_cleaned,unknown,Negative,Negative,Negative
Travis Hughes,2,horrible gamified app bait offer vanish bo reason store page completely change item list youre trying pick item fake promotion causing item may interested disappear try back find item entire promotion offered go away never existed,2026-03-12 01:01:37,0,all_cleaned,unknown,Negative,Negative,Negative
Nay Nay,5,love,2026-02-24 13:19:37,0,all_cleaned,unknown,Positive,Positive,Positive
karen douglas,5,love everything,2026-03-05 00:37:37,0,all_cleaned,unknown,Positive,Positive,Positive
Karl Carroll,3,need app track package cant online browser exactly,2026-03-12 18:00:39,0,all_cleaned,unknown,Neutral,Neutral,Neutral
David Zakarea,1,service wa extremely bad,2026-03-10 12:15:11,2,all_cleaned,unknown,Negative,Negative,Negative
Louis Baldacchino,5,efficient,2026-03-12 18:56:57,0,all_cleaned,unknown,Positive,Neutral,Positive
Laticia Spears,5,perfect dog,2026-03-12 16:52:02,0,all_cleaned,unknown,Positive,Positive,Positive
Falodun Akinwale,4,nice apphas good genuine product vendor good,2026-03-12 19:48:10,0,all_cleaned,unknown,Positive,Positive,Positive
Matteo Sordi,1,terrible absolutely terrible customer service either nonexistent incompetent price high compared similar platform delivery slow much china take ship european country example package wa shipped ha yet arrive france two week product quality always poor doesnt match description store page advise app,2026-02-16 08:14:20,5,all_cleaned,unknown,Negative,Negative,Negative
Jabulani Sibiya,5,taxi driver,2026-03-12 20:44:25,0,all_cleaned,unknown,Positive,Neutral,Positive
Marius Tarzioru,1,suck got scam,2026-03-12 08:25:23,0,all_cleaned,unknown,Negative,Neutral,Negative
Dave,2,add delivery system doesnt work properly add something already set order arrive chance wont come day separately order delivered day come problem,2026-03-08 11:00:17,0,all_cleaned,unknown,Negative,Negative,Negative
Ren Estelle,1,locked could ever place order 5 day appeal process would prevent getting new customer discount use vpn point think meant discourage privacy dissappointing wa really excited product,2026-03-02 02:28:38,0,all_cleaned,unknown,Negative,Neutral,Negative
rivaans beautyparlour,4,yo solved racism bro,2026-03-06 23:23:48,0,all_cleaned,unknown,Positive,Neutral,Positive
Qauzi Moen,5,good,2026-02-26 18:38:28,0,all_cleaned,unknown,Positive,Positive,Positive
Isra Al-hakim,3,sure happening app lately ha glitching lot siging ha become real pain keep signing still tell sign,2026-02-26 07:30:32,0,all_cleaned,unknown,Neutral,Neutral,Neutral
Logan K,1,completely locked app tablet 2026 figure stuff,2026-03-07 22:06:49,0,all_cleaned,unknown,Negative,Neutral,Negative
renita wuyts,1,downloaded app ordered wedding dress specially checked return dress site wa mentioned return order free satisfiedbut horrible experiencei didnt like dress asked return seller bluntly said pay return opening dispute discussing almost 3 weeksi lost case money wasted ali express good platform,2026-02-18 19:50:40,3,all_cleaned,unknown,Negative,Neutral,Negative
Lilly Buys,2,doesnt really anything people want random thing,2026-03-12 13:42:00,0,all_cleaned,unknown,Negative,Neutral,Negative
sravanthi dodda,1,negative expectation app please dont download one told free return available dont take return send damaged piece,2026-02-19 00:13:18,0,all_cleaned,unknown,Negative,Negative,Negative
Jenny,5,temu get mixed review user ive never send one thing back ive happy everything ive purchased give go,2026-03-12 08:50:51,0,all_cleaned,unknown,Positive,Neutral,Positive
Anastasia Hasselman,1,add item cart see pricing,2026-03-05 22:45:31,0,all_cleaned,unknown,Negative,Neutral,Negative
ahmed ismail,5,good,2026-03-06 19:54:57,0,all_cleaned,unknown,Positive,Positive,Positive
saravana kumar,5,good,2026-03-01 18:30:38,0,all_cleaned,unknown,Positive,Positive,Positive
J B,1,point overnight delivery doesnt show time thanks nothing dont know anyone else ha noticed service quality flat lining,2026-03-08 17:52:46,1,all_cleaned,unknown,Negative,Negative,Negative
ahmed farhan,1,خدمة الارجاع سيئة جدا مفيش ارجاع والمناديب غير علي قدر المسئولية,2026-03-06 08:04:45,0,all_cleaned,unknown,Negative,Neutral,Negative
Joseph Rutherford,5,fantastic,2026-03-12 16:47:21,0,all_cleaned,unknown,Positive,Neutral,Positive
Burner,1,stop using speedx delivery,2026-02-19 08:16:39,0,all_cleaned,unknown,Negative,Neutral,Negative
stephanie duda,1,since getting touch customer service complicated calculus say click find eligible item day delivery optionsstop defaulting grocery want grocery ill buy give relevant day item would rather get day put random grocery cart wa perfect beforelet go grocery youre closing store clearly suck retail grocery stop trying force,2026-03-05 00:03:06,1,all_cleaned,unknown,Negative,Positive,Negative
John Fleming,5,great service,2026-03-11 20:56:51,0,all_cleaned,unknown,Positive,Positive,Positive
Afsan Ali,5,good service,2026-03-09 19:32:49,0,all_cleaned,unknown,Positive,Positive,Positive
Shamshadshishamashal Yenquibu,5,thank,2026-03-12 04:27:55,0,all_cleaned,unknown,Positive,Neutral,Positive
Sarina Stokes,5,love convenient,2026-03-07 05:07:10,0,all_cleaned,unknown,Positive,Positive,Positive
Gary Shaw,3,ok play game shop really,2026-03-12 08:08:25,0,all_cleaned,unknown,Neutral,Neutral,Neutral
Pushpitha kavinda,5,good,2026-02-28 10:29:21,0,all_cleaned,unknown,Positive,Positive,Positive
Delowar hossain,5,use noon first time noon give good service give good quality product stay noon long time,2026-03-03 21:31:54,0,all_cleaned,unknown,Positive,Positive,Positive
Sarifur Rahman,5,like order anything,2026-03-07 09:06:09,0,all_cleaned,unknown,Positive,Neutral,Positive
Hazator,1,new suggestionsif u ever search click one product itll haunt u forever recommendation everything related would throwed u even u uninterest,2026-03-08 04:26:35,1,all_cleaned,unknown,Negative,Neutral,Negative
dina al hasan,1,proper customer service noon food submitted complaint received response first time received wrong item keep happening clear way speak representative disappointing experience,2026-02-26 18:18:42,0,all_cleaned,unknown,Negative,Negative,Negative
Rickard Terfelt,3,update yet another contact aliexpress got refund however cost lot time shopped lot ali resent year problem mostly resolved proof problem gave given proof enough got obvoius scam package wrapping good several communication session picture video ali seller wain still ask proof disregarded claim,2026-03-01 13:44:18,1,all_cleaned,unknown,Neutral,Neutral,Neutral
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,all_cleaned,unknown,Positive,Neutral,Positive
FRITOSPORT,1,scammer fraud protect seller store never ship product provide fake tracking number senior team never help get refund item never delivered provide proof yet never help company doesnt honor 20day refund rule stay away thief,2026-03-07 15:46:25,1,all_cleaned,unknown,Negative,Negative,Negative
Mek,1,annoying ad,2026-03-12 23:27:03,0,all_cleaned,unknown,Negative,Neutral,Negative
S Gra,1,extremely cheap quality,2026-03-12 18:54:20,0,all_cleaned,unknown,Negative,Neutral,Negative
Suraj R,5,amazing,2026-03-12 17:23:20,0,all_cleaned,unknown,Positive,Positive,Positive
Ahmed Adel,1,خدمه العملاء زباله السيستم زباله ولو حصل مشكله في الاوردر مفيش ريفند,2026-03-05 08:48:51,0,all_cleaned,unknown,Negative,Neutral,Negative
Brenda Hale,5,variety n return policy,2026-03-12 01:48:13,0,all_cleaned,unknown,Positive,Neutral,Positive
Carole Lindsell,2,dismal,2026-03-06 13:27:58,0,all_cleaned,unknown,Negative,Neutral,Negative
Norma Cross,5,good like amazon,2026-03-10 17:37:24,0,all_cleaned,unknown,Positive,Positive,Positive
John Atkinson,1,much stupid game l wish look around ser sale,2026-03-12 08:29:06,0,all_cleaned,unknown,Negative,Neutral,Negative
Norbert Gal,1,parcel got lost evri email confirming still aliexpress said enough proof get refund money gone im wasting time chasing refund talk,2026-02-21 11:04:29,2,all_cleaned,unknown,Negative,Neutral,Negative
Johanna Labahn,5,love convenience,2026-03-11 04:28:54,0,all_cleaned,unknown,Positive,Positive,Positive
taimur abbasi,3,nice sometimes image item dont load,2026-02-22 17:56:32,0,all_cleaned,unknown,Neutral,Neutral,Neutral
vijith kumar,5,good shopping cartcheap priceand good qualityvalue money,2026-03-12 16:17:29,0,all_cleaned,unknown,Positive,Positive,Positive
Tamara,2,doe show option arent even available frustrating idiotic,2026-03-05 23:43:50,0,all_cleaned,unknown,Negative,Neutral,Negative
Shahlom BD,5,good,2026-03-05 05:33:07,0,all_cleaned,unknown,Positive,Positive,Positive
Somnang Sam Tim,5,good product,2026-03-07 04:27:19,0,all_cleaned,unknown,Positive,Positive,Positive
Yahya Mohammed,5,افضل تطبيق في مجال التسوق أونلاين التطبيق سهل ومريح وكمان خدمه العملاء والاسترجاع والحاجات اللي زي كده ممتازه,2026-02-26 16:43:38,0,all_cleaned,unknown,Positive,Neutral,Positive
Teresa Lambert,1,bug death picking free low cost item buy item make low cost item dont mail free low cost item disappointed,2026-03-12 08:53:35,0,all_cleaned,unknown,Negative,Negative,Negative
Rohit,5,exilent,2026-03-02 21:09:28,0,all_cleaned,unknown,Positive,Neutral,Positive
Jared,1,use website youre reading app ha awful ui rufus ai needed icon forever bottom right easy accidently tap dark mode either app came phone deleted make wish zero star rating thing forced arent useful,2026-03-05 23:45:38,0,all_cleaned,unknown,Negative,Neutral,Negative
Joannie Cash,5,dont cellphone get password,2026-03-11 23:07:03,0,all_cleaned,unknown,Positive,Negative,Positive
Tokuijin,1,still havent received refund customer service abysmal,2026-02-21 12:36:59,3,all_cleaned,unknown,Negative,Neutral,Negative
Thamer Alhashimi,1,dark mod,2026-03-09 04:26:57,1,all_cleaned,unknown,Negative,Neutral,Negative
Shafqat Nadeem,1,good,2026-02-25 01:38:48,0,all_cleaned,unknown,Negative,Positive,Negative
Archie Barham,3,called winning offer bunch b favor skip promotion,2026-03-11 21:53:38,0,all_cleaned,unknown,Neutral,Neutral,Neutral
Dmar Mak mafe,5,good app,2026-03-12 16:09:07,0,all_cleaned,unknown,Positive,Positive,Positive
Remoon Kamal,5,good application,2026-03-02 10:25:19,0,all_cleaned,unknown,Positive,Positive,Positive
Rhonda Neal,5,9 10 sometimes order wrong probably human error great service,2026-03-06 12:56:32,0,all_cleaned,unknown,Positive,Neutral,Positive
Mohammad Mahadi,4,good,2026-03-05 05:29:02,0,all_cleaned,unknown,Positive,Positive,Positive
Time N Fate Int'l,4,play muchwith word freenice productsbut feel like im casino instead shopping site dont gamble complaint delivery order come nicely,2026-03-12 22:46:56,0,all_cleaned,unknown,Positive,Negative,Positive
Trenton Tanner,5,great glass,2026-03-12 23:43:06,0,all_cleaned,unknown,Positive,Positive,Positive
stephen amos,5,good range product,2026-02-24 15:49:30,0,all_cleaned,unknown,Positive,Positive,Positive
chris cueto,1,new update ha pretty much ruined app,2026-03-05 23:43:35,0,all_cleaned,unknown,Negative,Neutral,Negative
Mr Munazir,5,good,2026-03-06 12:56:18,0,all_cleaned,unknown,Positive,Positive,Positive
Robinette Brown,1,negative 1 million fullest funny amazon ha supervisor manager resolve issue take feedback thats waste money eliminated tried resolve account issue dysfunctional organization gotten nowhere contacted right organization help issue best believe never returnsuggest anyone shop horrible people organization,2026-03-08 16:03:24,0,all_cleaned,unknown,Negative,Negative,Negative
Patrice Pearson,5,love site easy shop deliverand find whatever looking good product value money,2026-03-11 21:02:11,0,all_cleaned,unknown,Positive,Positive,Positive
David Wilson,4,great,2026-02-23 15:25:05,0,all_cleaned,unknown,Positive,Positive,Positive
Angela Alce,1,ive make account ever since download appit working every single time always slow tell account locked regain accessi every gmail havethis worst app ever dont even write viewsbut worst app,2026-03-01 19:15:16,0,all_cleaned,unknown,Negative,Negative,Negative
Michelle Grooms,5,great get 3 item 99 cent,2026-02-27 15:53:00,0,all_cleaned,unknown,Positive,Positive,Positive
Mohaimen Macala,5,,2026-03-04 02:51:22,0,all_cleaned,unknown,Positive,Neutral,Positive
Clynt Barker,1,order placed tracking available notification say delayed still unable track let alone find courier used system loop circle without actually finding solution answer stick tried tested sa service rather,2026-03-12 22:47:10,0,all_cleaned,unknown,Negative,Neutral,Negative
Safina Nadeem,3,long time taking order specially getting involve tabby tamara,2026-03-10 07:51:35,0,all_cleaned,unknown,Neutral,Neutral,Neutral
Carla Luke Fleee,5,item dont take week two arrive thing order always amazes well look work,2026-03-12 10:59:31,0,all_cleaned,unknown,Positive,Negative,Positive
M S (McSkindy),1,app website useless actually unusable search something give multiple result except click result say something went wrong click next one something went wrong 5th 6th result finally show something try select option underneath type style blank menu pop never reveals anything mater much refresh literally useless wish could cancel prime,2026-03-05 21:47:38,2,all_cleaned,unknown,Negative,Negative,Negative
Muhammad Waqar,5,love noon amazing best online shopping,2026-03-04 11:38:04,0,all_cleaned,unknown,Positive,Positive,Positive
Cyber boy,4,made lot purchase aliexpress quite good experience lately im facing difficulty shipping fee 1 item shipping like 50 even please try fixing,2026-03-05 08:05:48,0,all_cleaned,unknown,Positive,Positive,Positive
Devker Srinivas,5,good,2026-03-06 16:36:16,0,all_cleaned,unknown,Positive,Positive,Positive
Roxanne Garrett,3,temu china bother buy feel good price good product,2026-03-12 22:43:12,0,all_cleaned,unknown,Neutral,Positive,Neutral
Anthony,1,never got product,2026-03-12 19:38:33,0,all_cleaned,unknown,Negative,Negative,Negative
robert Terrell,1,crooked hell youre stealing google play stealing account stop using account stop taking money amazon prime cancel everything amazon authorized take money im disabled senior think stop taking money authorized take money account,2026-03-12 16:08:30,0,all_cleaned,unknown,Negative,Neutral,Negative
ndudi nwanguma,5,ok long read information well,2026-03-12 10:39:06,0,all_cleaned,unknown,Positive,Neutral,Positive
Bibas Thapa,5,good apps service,2026-02-27 15:08:49,0,all_cleaned,unknown,Positive,Positive,Positive
Khalifa Attia,5,good thanks,2026-03-05 18:26:44,0,all_cleaned,unknown,Positive,Positive,Positive
Gl Udayanga,1,,2026-03-12 11:42:42,0,all_cleaned,unknown,Negative,Neutral,Negative
Frederick H. Stralow,1,spamming app company ever use deceptive practice lie thing actually read fine print know dont bother read whatever want agree stuff send high quality cheap going remove app dont recommend using app company free want,2026-03-11 23:43:37,1,all_cleaned,unknown,Negative,Neutral,Negative
Qaiser Butt,5,good,2026-03-06 08:39:13,0,all_cleaned,unknown,Positive,Positive,Positive
Droheemon Swod,5,best service,2026-03-06 18:43:27,0,all_cleaned,unknown,Positive,Positive,Positive
Rahl Gadu,5,למה זה לא מוריד לי ניסיתי אד 24 שאות אפילו יתמול,2026-03-12 16:48:37,0,all_cleaned,unknown,Positive,Neutral,Positive
ivy rose amada,5,helpful,2026-03-12 04:28:34,0,all_cleaned,unknown,Positive,Neutral,Positive
Audrey Huff,3,im savvy enough understand,2026-03-10 22:51:05,0,all_cleaned,unknown,Neutral,Neutral,Neutral
ZAKIR ULLAH,5,good,2026-03-10 06:11:42,0,all_cleaned,unknown,Positive,Positive,Positive
Tyler Mitchell,1,best place buy chinese counterfeit full price,2026-03-06 06:09:55,0,all_cleaned,unknown,Negative,Neutral,Negative
محمد صلاح,1,availabke tap,2026-03-11 20:55:09,0,all_cleaned,unknown,Negative,Neutral,Negative
Regina Markham,5,amazon shopping easy get trouble sometimes,2026-03-10 00:46:03,0,all_cleaned,unknown,Positive,Neutral,Positive
Jose Goris,1,unable add item cart option buy,2026-02-27 10:40:51,1,all_cleaned,unknown,Negative,Neutral,Negative
Dim Sum,1,false advertisingthin poor quality clothes fake add fake promotion site terrible annoying returnsscam city,2026-03-12 08:33:12,3,all_cleaned,unknown,Negative,Negative,Negative
craig williams,1,rubbish conglomerate refund order yodel decide leave unsafe place go missingeven though term refund package lostalready touch customer service 18 time numerous appeal interested deny refund every time response reply,2026-02-28 11:51:40,1,all_cleaned,unknown,Negative,Neutral,Negative
Umair Khan,5,good,2026-02-26 06:08:26,0,all_cleaned,unknown,Positive,Positive,Positive
Devon Morey,1,connecting properly amazon account computer ive used amazon year yet sudden previous order im phone ive checked im using exact account cant even use app purchase anything say everything stock something wrong,2026-03-07 02:19:05,0,all_cleaned,unknown,Negative,Negative,Negative
mustafa mustafa,5,great service,2026-03-03 09:29:42,0,all_cleaned,unknown,Positive,Positive,Positive
Natalie Aponte,4,liked app first used 2023 could add anything cart really cheap price upped deal stuff price cheap cant add cart suck cuz find item way expensive still good deal wish wa wa 2023,2026-03-04 05:33:59,0,all_cleaned,unknown,Positive,Positive,Positive
md mahbub,5,good,2026-03-04 17:21:31,0,all_cleaned,unknown,Positive,Positive,Positive
Mamie Briggs,5,good happy everything received company,2026-03-12 18:15:23,0,all_cleaned,unknown,Positive,Positive,Positive
Amrit Choudhary,5,good service,2026-03-04 17:28:08,0,all_cleaned,unknown,Positive,Positive,Positive
Adriana,5,awesome done awesome love thing access app,2026-03-07 21:18:05,0,all_cleaned,unknown,Positive,Positive,Positive
jpala821,1,company might tie fake charity awful thing cat china support business tie vile group,2026-03-12 07:30:24,0,all_cleaned,unknown,Negative,Negative,Negative
Cooper Erskine,5,honestly app ha one best customer service ever issue giftcard long ago got chat customer service employee easy understand filed ticket almost immediately really sweet,2026-03-10 01:00:58,0,all_cleaned,unknown,Positive,Positive,Positive
John Mullen,4,shipping thing way long receive,2026-03-12 16:44:11,0,all_cleaned,unknown,Positive,Neutral,Positive
Kirnstine Shane Ybañez,5,amazing,2026-03-12 09:53:49,0,all_cleaned,unknown,Positive,Positive,Positive
Manfred Prokesch,1,ich wollte nur eine maus bestellen und wurde mit nicht benötigten artikeln über paypal abgezockt,2026-03-12 14:19:11,0,all_cleaned,unknown,Negative,Neutral,Negative
manir islam,5,good,2026-03-08 08:44:13,0,all_cleaned,unknown,Positive,Positive,Positive
Lency Gooden,5,app ha updated waiting see promotion,2026-02-23 08:13:14,0,all_cleaned,unknown,Positive,Neutral,Positive
Andrea Cardenas,5,easy use buy everything amazon app,2026-03-12 13:30:35,0,all_cleaned,unknown,Positive,Neutral,Positive
Ikram Hossen,5,good,2026-03-10 05:40:00,0,all_cleaned,unknown,Positive,Positive,Positive
Bernadette Hayes,5,enjoy team temu,2026-03-12 19:49:02,0,all_cleaned,unknown,Positive,Neutral,Positive
Kay Main,5,awesome site excellent value truly amazing,2026-03-11 22:32:45,1,all_cleaned,unknown,Positive,Positive,Positive
Rebecca Heim,1,1 star dont 0 bad customer service customer friendly customer supervisor wa knowledgeable sarcastic generally made question even want amazon account,2026-03-06 02:15:59,1,all_cleaned,unknown,Negative,Negative,Negative
Wayne Leone,1,amazon suck,2026-03-09 16:29:56,1,all_cleaned,unknown,Negative,Neutral,Negative
Tammy Skifstad,5,easily find anything im looking everything ive bought high quality,2026-03-11 03:32:49,0,all_cleaned,unknown,Positive,Neutral,Positive
